description,proteins,fats,carbohydrates,calories,answer
rolls dinner whole-wheat,8.7,4.7,51.1,266.0,"{""proteins"": 8.7, ""fats"": 4.7, ""carbohydrates"": 51.1, ""calories"": 266.0}"
rolls french,8.6,4.3,50.2,277.0,"{""proteins"": 8.6, ""fats"": 4.3, ""carbohydrates"": 50.2, ""calories"": 277.0}"
rolls hamburger or hotdog plain,9.77,3.91,50.12,279.0,"{""proteins"": 9.77, ""fats"": 3.91, ""carbohydrates"": 50.12, ""calories"": 279.0}"
rolls hamburger or hotdog mixed-grain,9.6,6.0,44.6,263.0,"{""proteins"": 9.6, ""fats"": 6.0, ""carbohydrates"": 44.6, ""calories"": 263.0}"
rolls hamburger or hotdog reduced-calorie,8.3,2.0,42.1,196.0,"{""proteins"": 8.3, ""fats"": 2.0, ""carbohydrates"": 42.1, ""calories"": 196.0}"
rolls hard (includes kaiser),9.9,4.3,52.7,293.0,"{""proteins"": 9.9, ""fats"": 4.3, ""carbohydrates"": 52.7, ""calories"": 293.0}"
strudel apple,3.3,11.2,41.1,274.0,"{""proteins"": 3.3, ""fats"": 11.2, ""carbohydrates"": 41.1, ""calories"": 274.0}"
sweet rolls cheese,7.1,18.3,43.7,360.0,"{""proteins"": 7.1, ""fats"": 18.3, ""carbohydrates"": 43.7, ""calories"": 360.0}"
sweet rolls cinnamon commercially prepared with raisins,6.2,16.4,50.9,372.0,"{""proteins"": 6.2, ""fats"": 16.4, ""carbohydrates"": 50.9, ""calories"": 372.0}"
sweet rolls cinnamon refrigerated dough with frosting,5.0,12.2,51.6,333.0,"{""proteins"": 5.0, ""fats"": 12.2, ""carbohydrates"": 51.6, ""calories"": 333.0}"
sweet rolls cinnamon refrigerated dough with frosting baked,5.4,13.2,56.1,362.0,"{""proteins"": 5.4, ""fats"": 13.2, ""carbohydrates"": 56.1, ""calories"": 362.0}"
taco shells baked,6.41,21.79,63.49,476.0,"{""proteins"": 6.41, ""fats"": 21.79, ""carbohydrates"": 63.49, ""calories"": 476.0}"
toaster pastries brown-sugar-cinnamon,4.06,7.98,72.64,370.0,"{""proteins"": 4.06, ""fats"": 7.98, ""carbohydrates"": 72.64, ""calories"": 370.0}"
toaster pastries fruit (includes apple blueberry cherry strawberry),4.2,9.95,70.32,388.0,"{""proteins"": 4.2, ""fats"": 9.95, ""carbohydrates"": 70.32, ""calories"": 388.0}"
tortillas ready-to-bake or -fry corn,5.7,2.85,44.64,218.0,"{""proteins"": 5.7, ""fats"": 2.85, ""carbohydrates"": 44.64, ""calories"": 218.0}"
tortillas ready-to-bake or -fry flour refrigerated,8.2,7.99,49.38,306.0,"{""proteins"": 8.2, ""fats"": 7.99, ""carbohydrates"": 49.38, ""calories"": 306.0}"
waffles plain frozen ready-to-heat,6.47,9.7,42.98,285.0,"{""proteins"": 6.47, ""fats"": 9.7, ""carbohydrates"": 42.98, ""calories"": 285.0}"
waffles plain prepared from recipe,7.9,14.1,32.9,291.0,"{""proteins"": 7.9, ""fats"": 14.1, ""carbohydrates"": 32.9, ""calories"": 291.0}"
wonton wrappers (includes egg roll wrappers),9.8,1.5,57.9,291.0,"{""proteins"": 9.8, ""fats"": 1.5, ""carbohydrates"": 57.9, ""calories"": 291.0}"
leavening agents baking powder double-acting sodium aluminum sulfate,0.0,0.0,27.7,53.0,"{""proteins"": 0.0, ""fats"": 0.0, ""carbohydrates"": 27.7, ""calories"": 53.0}"
leavening agents baking powder double-acting straight phosphate,0.1,0.0,24.1,51.0,"{""proteins"": 0.1, ""fats"": 0.0, ""carbohydrates"": 24.1, ""calories"": 51.0}"
leavening agents baking powder low-sodium,0.1,0.4,46.9,97.0,"{""proteins"": 0.1, ""fats"": 0.4, ""carbohydrates"": 46.9, ""calories"": 97.0}"
leavening agents baking soda,0.0,0.0,0.0,0.0,"{""proteins"": 0.0, ""fats"": 0.0, ""carbohydrates"": 0.0, ""calories"": 0.0}"
leavening agents cream of tartar,0.0,0.0,61.5,258.0,"{""proteins"": 0.0, ""fats"": 0.0, ""carbohydrates"": 61.5, ""calories"": 258.0}"
leavening agents yeast baker's compressed,8.4,1.9,18.1,105.0,"{""proteins"": 8.4, ""fats"": 1.9, ""carbohydrates"": 18.1, ""calories"": 105.0}"
leavening agents yeast baker's active dry,40.44,7.61,41.22,325.0,"{""proteins"": 40.44, ""fats"": 7.61, ""carbohydrates"": 41.22, ""calories"": 325.0}"
bread crumbs dry grated seasoned,14.13,5.48,68.49,383.0,"{""proteins"": 14.13, ""fats"": 5.48, ""carbohydrates"": 68.49, ""calories"": 383.0}"
cookies oatmeal prepared from recipe without raisins,6.8,17.9,66.4,447.0,"{""proteins"": 6.8, ""fats"": 17.9, ""carbohydrates"": 66.4, ""calories"": 447.0}"
cookies chocolate chip prepared from recipe made with butter,5.7,28.4,58.2,488.0,"{""proteins"": 5.7, ""fats"": 28.4, ""carbohydrates"": 58.2, ""calories"": 488.0}"
bread protein (includes gluten) toasted,13.2,2.4,48.1,270.0,"{""proteins"": 13.2, ""fats"": 2.4, ""carbohydrates"": 48.1, ""calories"": 270.0}"
bread rice bran toasted,9.7,5.0,47.3,264.0,"{""proteins"": 9.7, ""fats"": 5.0, ""carbohydrates"": 47.3, ""calories"": 264.0}"
bread wheat germ toasted,10.7,3.3,54.3,293.0,"{""proteins"": 10.7, ""fats"": 3.3, ""carbohydrates"": 54.3, ""calories"": 293.0}"
muffins blueberry toaster-type toasted,4.9,10.1,56.7,333.0,"{""proteins"": 4.9, ""fats"": 10.1, ""carbohydrates"": 56.7, ""calories"": 333.0}"
muffins wheat bran toaster-type with raisins toasted,5.5,9.4,55.5,313.0,"{""proteins"": 5.5, ""fats"": 9.4, ""carbohydrates"": 55.5, ""calories"": 313.0}"
pancakes buttermilk prepared from recipe,6.8,9.3,28.7,227.0,"{""proteins"": 6.8, ""fats"": 9.3, ""carbohydrates"": 28.7, ""calories"": 227.0}"
rolls dinner plain prepared from recipe made with low fat (2%) milk,8.5,7.3,53.4,316.0,"{""proteins"": 8.5, ""fats"": 7.3, ""carbohydrates"": 53.4, ""calories"": 316.0}"
pie crust cookie-type prepared from recipe graham cracker chilled,4.1,24.4,63.9,484.0,"{""proteins"": 4.1, ""fats"": 24.4, ""carbohydrates"": 63.9, ""calories"": 484.0}"
crackers matzo egg and onion,10.0,3.9,77.1,391.0,"{""proteins"": 10.0, ""fats"": 3.9, ""carbohydrates"": 77.1, ""calories"": 391.0}"
pie crust cookie-type prepared from recipe vanilla wafer chilled,3.7,36.2,50.2,531.0,"{""proteins"": 3.7, ""fats"": 36.2, ""carbohydrates"": 50.2, ""calories"": 531.0}"
pie crust standard-type prepared from recipe unbaked,5.7,30.8,42.3,469.0,"{""proteins"": 5.7, ""fats"": 30.8, ""carbohydrates"": 42.3, ""calories"": 469.0}"
waffles plain frozen ready -to-heat toasted,7.19,9.61,49.29,312.0,"{""proteins"": 7.19, ""fats"": 9.61, ""carbohydrates"": 49.29, ""calories"": 312.0}"
bagels plain enriched without calcium propionate (includes onion poppy sesame),10.5,1.6,53.4,275.0,"{""proteins"": 10.5, ""fats"": 1.6, ""carbohydrates"": 53.4, ""calories"": 275.0}"
bagels plain unenriched with calcium propionate (includes onion poppy sesame),10.5,1.6,53.4,275.0,"{""proteins"": 10.5, ""fats"": 1.6, ""carbohydrates"": 53.4, ""calories"": 275.0}"
bagels plain unenriched without calcium propionate(includes onion poppy sesame),10.5,1.6,53.4,275.0,"{""proteins"": 10.5, ""fats"": 1.6, ""carbohydrates"": 53.4, ""calories"": 275.0}"
bread cornbread dry mix unenriched (includes corn muffin mix),7.0,12.2,69.5,418.0,"{""proteins"": 7.0, ""fats"": 12.2, ""carbohydrates"": 69.5, ""calories"": 418.0}"
bread pita white unenriched,9.1,1.2,55.7,275.0,"{""proteins"": 9.1, ""fats"": 1.2, ""carbohydrates"": 55.7, ""calories"": 275.0}"
bread raisin unenriched,7.9,4.4,52.3,274.0,"{""proteins"": 7.9, ""fats"": 4.4, ""carbohydrates"": 52.3, ""calories"": 274.0}"
bread white commercially prepared low sodium no salt,8.2,3.6,49.6,267.0,"{""proteins"": 8.2, ""fats"": 3.6, ""carbohydrates"": 49.6, ""calories"": 267.0}"
coffeecake cinnamon with crumb topping commercially prepared unenriched,6.8,23.3,46.7,418.0,"{""proteins"": 6.8, ""fats"": 23.3, ""carbohydrates"": 46.7, ""calories"": 418.0}"
cake pound commercially prepared other than all butter unenriched,5.2,17.9,52.5,389.0,"{""proteins"": 5.2, ""fats"": 17.9, ""carbohydrates"": 52.5, ""calories"": 389.0}"
cake pudding-type white unenriched dry mix,3.9,9.5,81.0,423.0,"{""proteins"": 3.9, ""fats"": 9.5, ""carbohydrates"": 81.0, ""calories"": 423.0}"
cake yellow unenriched dry mix,4.4,11.6,78.1,432.0,"{""proteins"": 4.4, ""fats"": 11.6, ""carbohydrates"": 78.1, ""calories"": 432.0}"
cookies butter commercially prepared unenriched,6.1,18.8,68.9,467.0,"{""proteins"": 6.1, ""fats"": 18.8, ""carbohydrates"": 68.9, ""calories"": 467.0}"
cookies chocolate chip commercially prepared regular higher fat unenriched,5.4,22.6,66.8,481.0,"{""proteins"": 5.4, ""fats"": 22.6, ""carbohydrates"": 66.8, ""calories"": 481.0}"
cookies ladyfingers without lemon juice and rind,10.6,9.1,59.7,363.0,"{""proteins"": 10.6, ""fats"": 9.1, ""carbohydrates"": 59.7, ""calories"": 363.0}"
crackers melba toast plain without salt,12.1,3.2,76.6,390.0,"{""proteins"": 12.1, ""fats"": 3.2, ""carbohydrates"": 76.6, ""calories"": 390.0}"
crackers saltines low salt (includes oyster soda soup),9.5,8.85,74.34,421.0,"{""proteins"": 9.5, ""fats"": 8.85, ""carbohydrates"": 74.34, ""calories"": 421.0}"
crackers saltines unsalted tops (includes oyster soda soup),9.2,11.8,71.5,434.0,"{""proteins"": 9.2, ""fats"": 11.8, ""carbohydrates"": 71.5, ""calories"": 434.0}"
crackers standard snack-type regular low salt,7.4,25.3,61.0,502.0,"{""proteins"": 7.4, ""fats"": 25.3, ""carbohydrates"": 61.0, ""calories"": 502.0}"
crackers wheat low salt,8.6,20.6,64.9,473.0,"{""proteins"": 8.6, ""fats"": 20.6, ""carbohydrates"": 64.9, ""calories"": 473.0}"
crackers whole-wheat low salt,8.8,17.2,68.6,443.0,"{""proteins"": 8.8, ""fats"": 17.2, ""carbohydrates"": 68.6, ""calories"": 443.0}"
danish pastry cinnamon unenriched,7.0,22.4,44.6,403.0,"{""proteins"": 7.0, ""fats"": 22.4, ""carbohydrates"": 44.6, ""calories"": 403.0}"
danish pastry fruit unenriched (includes apple cinnamon raisin strawberry),5.4,18.5,47.8,371.0,"{""proteins"": 5.4, ""fats"": 18.5, ""carbohydrates"": 47.8, ""calories"": 371.0}"
bread white commercially prepared toasted low sodium no salt,9.0,4.0,54.4,293.0,"{""proteins"": 9.0, ""fats"": 4.0, ""carbohydrates"": 54.4, ""calories"": 293.0}"
danish pastry lemon unenriched,5.4,18.5,47.8,371.0,"{""proteins"": 5.4, ""fats"": 18.5, ""carbohydrates"": 47.8, ""calories"": 371.0}"
crackers cheese low sodium,10.1,25.3,58.2,503.0,"{""proteins"": 10.1, ""fats"": 25.3, ""carbohydrates"": 58.2, ""calories"": 503.0}"
danish pastry raspberry unenriched,5.4,18.5,47.8,371.0,"{""proteins"": 5.4, ""fats"": 18.5, ""carbohydrates"": 47.8, ""calories"": 371.0}"
doughnuts yeast-leavened glazed unenriched (includes honey buns),6.4,22.8,44.3,403.0,"{""proteins"": 6.4, ""fats"": 22.8, ""carbohydrates"": 44.3, ""calories"": 403.0}"
english muffins plain enriched without calcium propionate(includes sourdough),7.7,1.8,46.0,235.0,"{""proteins"": 7.7, ""fats"": 1.8, ""carbohydrates"": 46.0, ""calories"": 235.0}"
english muffins plain unenriched with calcium propionate (includes sourdough),7.7,1.8,46.0,235.0,"{""proteins"": 7.7, ""fats"": 1.8, ""carbohydrates"": 46.0, ""calories"": 235.0}"
english muffins plain unenriched without calcium propionate (includes sourdough),7.7,1.8,46.0,235.0,"{""proteins"": 7.7, ""fats"": 1.8, ""carbohydrates"": 46.0, ""calories"": 235.0}"
pie apple commercially prepared unenriched flour,1.9,11.0,34.0,237.0,"{""proteins"": 1.9, ""fats"": 11.0, ""carbohydrates"": 34.0, ""calories"": 237.0}"
pie fried pies cherry,3.0,16.1,42.6,316.0,"{""proteins"": 3.0, ""fats"": 16.1, ""carbohydrates"": 42.6, ""calories"": 316.0}"
pie fried pies lemon,3.0,16.1,42.6,316.0,"{""proteins"": 3.0, ""fats"": 16.1, ""carbohydrates"": 42.6, ""calories"": 316.0}"
pie crust standard-type frozen ready-to-bake unenriched,3.9,29.2,44.1,457.0,"{""proteins"": 3.9, ""fats"": 29.2, ""carbohydrates"": 44.1, ""calories"": 457.0}"
popovers dry mix unenriched,10.4,4.3,71.0,371.0,"{""proteins"": 10.4, ""fats"": 4.3, ""carbohydrates"": 71.0, ""calories"": 371.0}"
taco shells baked without added salt,7.2,22.6,62.4,468.0,"{""proteins"": 7.2, ""fats"": 22.6, ""carbohydrates"": 62.4, ""calories"": 468.0}"
tortillas ready-to-bake or -fry corn without added salt,5.7,2.5,46.6,222.0,"{""proteins"": 5.7, ""fats"": 2.5, ""carbohydrates"": 46.6, ""calories"": 222.0}"
tortillas ready-to-bake or -fry flour without added calcium,8.7,7.1,55.6,325.0,"{""proteins"": 8.7, ""fats"": 7.1, ""carbohydrates"": 55.6, ""calories"": 325.0}"
cake pound commercially prepared fat-free,5.4,1.2,61.0,283.0,"{""proteins"": 5.4, ""fats"": 1.2, ""carbohydrates"": 61.0, ""calories"": 283.0}"
cake yellow light dry mix,4.7,5.5,84.1,404.0,"{""proteins"": 4.7, ""fats"": 5.5, ""carbohydrates"": 84.1, ""calories"": 404.0}"
crackers saltines fat-free low-sodium,10.5,1.6,82.3,393.0,"{""proteins"": 10.5, ""fats"": 1.6, ""carbohydrates"": 82.3, ""calories"": 393.0}"
breakfast tart low fat,3.99,5.99,76.8,372.0,"{""proteins"": 3.99, ""fats"": 5.99, ""carbohydrates"": 76.8, ""calories"": 372.0}"
toaster pastries kellogg kellogg's pop tarts blueberry,4.6,13.3,68.41,412.0,"{""proteins"": 4.6, ""fats"": 13.3, ""carbohydrates"": 68.41, ""calories"": 412.0}"
toaster pastries kellogg kellogg's pop tarts frosted blueberry,4.6,10.0,71.77,391.0,"{""proteins"": 4.6, ""fats"": 10.0, ""carbohydrates"": 71.77, ""calories"": 391.0}"
toaster pastries kellogg kellogg's pop tarts brown sugar cinnamon,5.4,18.4,64.4,438.0,"{""proteins"": 5.4, ""fats"": 18.4, ""carbohydrates"": 64.4, ""calories"": 438.0}"
toaster pastries kellogg kellogg's pop tarts frosted brown sugar cinnamon,4.6,13.8,69.0,417.0,"{""proteins"": 4.6, ""fats"": 13.8, ""carbohydrates"": 69.0, ""calories"": 417.0}"
toaster pastries kellogg kellogg's pop tarts frosted cherry,4.2,10.2,72.0,397.0,"{""proteins"": 4.2, ""fats"": 10.2, ""carbohydrates"": 72.0, ""calories"": 397.0}"
toaster pastries kellogg kellogg's pop tarts frosted chocolate fudge,4.9,9.3,70.4,384.0,"{""proteins"": 4.9, ""fats"": 9.3, ""carbohydrates"": 70.4, ""calories"": 384.0}"
toaster pastries kellogg kellogg's pop tarts frosted raspberry,4.2,10.6,71.62,399.0,"{""proteins"": 4.2, ""fats"": 10.6, ""carbohydrates"": 71.62, ""calories"": 399.0}"
toaster pastries kellogg kellogg's pop tarts s'mores,6.2,10.5,69.6,392.0,"{""proteins"": 6.2, ""fats"": 10.5, ""carbohydrates"": 69.6, ""calories"": 392.0}"
toaster pastries kellogg kellogg's pop tarts strawberry,4.7,10.5,71.1,398.0,"{""proteins"": 4.7, ""fats"": 10.5, ""carbohydrates"": 71.1, ""calories"": 398.0}"
toaster pastries kellogg kellogg's pop tarts frosted strawberry,4.1,9.8,71.7,390.0,"{""proteins"": 4.1, ""fats"": 9.8, ""carbohydrates"": 71.7, ""calories"": 390.0}"
toaster pastries kellogg kellogg's pop tarts frosted wild berry,4.0,9.5,72.4,390.0,"{""proteins"": 4.0, ""fats"": 9.5, ""carbohydrates"": 72.4, ""calories"": 390.0}"
toaster pastries kellogg kellogg's low fat pop tarts frosted brown sugar cinnamon,4.7,5.9,73.7,366.0,"{""proteins"": 4.7, ""fats"": 5.9, ""carbohydrates"": 73.7, ""calories"": 366.0}"
toaster pastries kellogg kellogg's low fat pop tarts frosted strawberry,4.2,5.4,74.4,363.0,"{""proteins"": 4.2, ""fats"": 5.4, ""carbohydrates"": 74.4, ""calories"": 363.0}"
kellogg kellogg's eggo buttermilk pancake,5.3,8.0,38.6,245.0,"{""proteins"": 5.3, ""fats"": 8.0, ""carbohydrates"": 38.6, ""calories"": 245.0}"
kellogg kellog's nutri-grain cereal bars mixed berry,4.3,7.6,72.8,370.0,"{""proteins"": 4.3, ""fats"": 7.6, ""carbohydrates"": 72.8, ""calories"": 370.0}"
kellogg's eggo waffles homestyle low fat,6.3,3.5,44.9,229.0,"{""proteins"": 6.3, ""fats"": 3.5, ""carbohydrates"": 44.9, ""calories"": 229.0}"
kellogg's eggo nutri-grain waffles low fat,6.5,3.5,39.0,201.0,"{""proteins"": 6.5, ""fats"": 3.5, ""carbohydrates"": 39.0, ""calories"": 201.0}"
kellogg's eggo lowfat blueberry nutri-grain waffles,5.95,2.83,42.71,208.0,"{""proteins"": 5.95, ""fats"": 2.83, ""carbohydrates"": 42.71, ""calories"": 208.0}"
archway home style cookies sugar free oatmeal,5.54,20.92,67.2,442.0,"{""proteins"": 5.54, ""fats"": 20.92, ""carbohydrates"": 67.2, ""calories"": 442.0}"
archway home style cookies chocolate chip ice box,4.28,24.4,65.02,497.0,"{""proteins"": 4.28, ""fats"": 24.4, ""carbohydrates"": 65.02, ""calories"": 497.0}"
archway home style cookies coconut macaroon,3.02,22.55,61.23,460.0,"{""proteins"": 3.02, ""fats"": 22.55, ""carbohydrates"": 61.23, ""calories"": 460.0}"
archway home style cookies date filled oatmeal,4.67,12.05,68.16,400.0,"{""proteins"": 4.67, ""fats"": 12.05, ""carbohydrates"": 68.16, ""calories"": 400.0}"
archway home style cookies dutch cocoa,4.5,14.99,69.44,431.0,"{""proteins"": 4.5, ""fats"": 14.99, ""carbohydrates"": 69.44, ""calories"": 431.0}"
archway home style cookies frosty lemon,4.41,17.11,64.78,430.0,"{""proteins"": 4.41, ""fats"": 17.11, ""carbohydrates"": 64.78, ""calories"": 430.0}"
archway home style cookies iced molasses,3.5,14.43,69.12,420.0,"{""proteins"": 3.5, ""fats"": 14.43, ""carbohydrates"": 69.12, ""calories"": 420.0}"
archway home style cookies iced oatmeal,4.89,16.53,66.76,435.0,"{""proteins"": 4.89, ""fats"": 16.53, ""carbohydrates"": 66.76, ""calories"": 435.0}"
archway home style cookies molasses,4.25,12.06,69.41,403.0,"{""proteins"": 4.25, ""fats"": 12.06, ""carbohydrates"": 69.41, ""calories"": 403.0}"
archway home style cookies oatmeal,5.48,14.08,68.17,421.0,"{""proteins"": 5.48, ""fats"": 14.08, ""carbohydrates"": 68.17, ""calories"": 421.0}"
archway home style cookies oatmeal raisin,5.17,12.08,69.27,406.0,"{""proteins"": 5.17, ""fats"": 12.08, ""carbohydrates"": 69.27, ""calories"": 406.0}"
archway home style cookies old fashioned molasses,4.27,11.83,70.55,406.0,"{""proteins"": 4.27, ""fats"": 11.83, ""carbohydrates"": 70.55, ""calories"": 406.0}"
archway home style cookies old fashioned windmill cookies,5.17,17.55,72.23,468.0,"{""proteins"": 5.17, ""fats"": 17.55, ""carbohydrates"": 72.23, ""calories"": 468.0}"
archway home style cookies peanut butter,9.0,24.28,58.48,480.0,"{""proteins"": 9.0, ""fats"": 24.28, ""carbohydrates"": 58.48, ""calories"": 480.0}"
archway home style cookies raspberry filled,4.35,13.26,65.92,400.0,"{""proteins"": 4.35, ""fats"": 13.26, ""carbohydrates"": 65.92, ""calories"": 400.0}"
archway home style cookies strawberry filled,4.35,13.26,65.92,400.0,"{""proteins"": 4.35, ""fats"": 13.26, ""carbohydrates"": 65.92, ""calories"": 400.0}"
archway home style cookies reduced fat ginger snaps,4.67,11.14,76.23,424.0,"{""proteins"": 4.67, ""fats"": 11.14, ""carbohydrates"": 76.23, ""calories"": 424.0}"
artificial blueberry muffin mix dry,4.7,8.7,77.45,407.0,"{""proteins"": 4.7, ""fats"": 8.7, ""carbohydrates"": 77.45, ""calories"": 407.0}"
kraft stove top stuffing mix chicken flavor,12.6,4.1,73.1,381.0,"{""proteins"": 12.6, ""fats"": 4.1, ""carbohydrates"": 73.1, ""calories"": 381.0}"
george weston bakeries brownberry sage and onion stuffing mix dry,13.3,5.1,72.7,390.0,"{""proteins"": 13.3, ""fats"": 5.1, ""carbohydrates"": 72.7, ""calories"": 390.0}"
keebler keebler chocolate graham selects,7.1,16.6,71.8,465.0,"{""proteins"": 7.1, ""fats"": 16.6, ""carbohydrates"": 71.8, ""calories"": 465.0}"
keebler vanilla wafers,4.0,17.4,73.1,462.0,"{""proteins"": 4.0, ""fats"": 17.4, ""carbohydrates"": 73.1, ""calories"": 462.0}"
continental mills krusteaz almond poppyseed muffin mix artificially flavored dry,5.6,10.3,75.6,418.0,"{""proteins"": 5.6, ""fats"": 10.3, ""carbohydrates"": 75.6, ""calories"": 418.0}"
mckee baking little debbie nutty bars wafers with peanut butter chocolate covered,8.0,32.8,55.2,548.0,"{""proteins"": 8.0, ""fats"": 32.8, ""carbohydrates"": 55.2, ""calories"": 548.0}"
martha white foods martha white's chewy fudge brownie mix dry,4.42,6.16,83.58,407.0,"{""proteins"": 4.42, ""fats"": 6.16, ""carbohydrates"": 83.58, ""calories"": 407.0}"
martha white foods martha white's buttermilk biscuit mix dry,7.81,13.23,59.41,388.0,"{""proteins"": 7.81, ""fats"": 13.23, ""carbohydrates"": 59.41, ""calories"": 388.0}"
mission foods mission flour tortillas soft taco 8 inch,8.7,6.0,49.6,287.0,"{""proteins"": 8.7, ""fats"": 6.0, ""carbohydrates"": 49.6, ""calories"": 287.0}"
nabisco nabisco grahams crackers,6.99,10.0,76.2,424.0,"{""proteins"": 6.99, ""fats"": 10.0, ""carbohydrates"": 76.2, ""calories"": 424.0}"
nabisco nabisco oreo crunchies cookie crumb topping,4.78,21.5,70.23,476.0,"{""proteins"": 4.78, ""fats"": 21.5, ""carbohydrates"": 70.23, ""calories"": 476.0}"
nabisco nabisco ritz crackers,7.23,23.21,63.51,492.0,"{""proteins"": 7.23, ""fats"": 23.21, ""carbohydrates"": 63.51, ""calories"": 492.0}"
pillsbury buttermilk biscuits artificial flavor refrigerated dough,6.4,2.79,47.07,236.0,"{""proteins"": 6.4, ""fats"": 2.79, ""carbohydrates"": 47.07, ""calories"": 236.0}"
pillsbury chocolate chip cookies refrigerated dough,3.82,21.26,60.75,450.0,"{""proteins"": 3.82, ""fats"": 21.26, ""carbohydrates"": 60.75, ""calories"": 450.0}"
pillsbury crusty french loaf refrigerated dough,8.59,2.88,46.35,243.0,"{""proteins"": 8.59, ""fats"": 2.88, ""carbohydrates"": 46.35, ""calories"": 243.0}"
pillsbury traditional fudge brownie mix dry,4.8,12.1,78.3,441.0,"{""proteins"": 4.8, ""fats"": 12.1, ""carbohydrates"": 78.3, ""calories"": 441.0}"
pillsbury grands buttermilk biscuits refrigerated dough,6.16,11.34,42.41,293.0,"{""proteins"": 6.16, ""fats"": 11.34, ""carbohydrates"": 42.41, ""calories"": 293.0}"
pillsbury golden layer buttermilk biscuits artificial flavor refrigerated dough,5.88,13.24,41.18,307.0,"{""proteins"": 5.88, ""fats"": 13.24, ""carbohydrates"": 41.18, ""calories"": 307.0}"
